hidden_layer_sizes,max_epoch,learning_rate_init,max_error,mean_accuracy,train_accuracy,test_accuracy
"[30, 20, 1]",1000,0.7,0.05,0.956047197640118,0.9802197802197802,0.9912280701754386
"[30, 20, 1]",1000,0.7,0.1,0.956047197640118,0.9824175824175824,0.9736842105263158
"[30, 30, 20, 1]",100,0.7,0.01,0.9525539512498058,0.9758241758241758,0.956140350877193
"[30, 30, 20, 1]",100,0.7,0.05,0.9525539512498058,0.9758241758241758,0.9824561403508771
"[30, 30, 20, 1]",100,0.7,0.1,0.9525539512498058,0.967032967032967,0.9649122807017544
"[30, 30, 20, 1]",500,0.7,0.01,0.9525539512498058,0.9758241758241758,0.956140350877193
"[30, 30, 20, 1]",500,0.7,0.05,0.9525539512498058,0.9758241758241758,0.9824561403508771
"[30, 30, 20, 1]",500,0.7,0.1,0.9525539512498058,0.967032967032967,0.9649122807017544
"[30, 30, 20, 1]",1000,0.7,0.01,0.9525539512498058,0.9758241758241758,0.956140350877193
"[30, 30, 20, 1]",1000,0.7,0.05,0.9525539512498058,0.9758241758241758,0.9824561403508771
"[30, 30, 20, 1]",1000,0.7,0.1,0.9525539512498058,0.967032967032967,0.9649122807017544
